components,program,function,cpu_percent,mem_mb,io_kbps,time_sec
2,A,cpu,179.90,1.60,44.00,6.780
2,B,cpu,167.22,1.10,32.80,6.720
2,A,mem,136.28,411.78,35.10,6.610
2,B,mem,149.66,410.80,163.69,6.730
2,A,io,9.55,1.59,15.00,5.120
2,B,io,6.83,1.25,32849.00,5.410
3,A,cpu,177.59,2.12,19.94,10.160
3,B,cpu,177.49,1.41,22479.43,10.130
3,A,mem,153.09,734.54,21.07,10.220
3,B,mem,192.47,769.52,74.86,10.600
3,A,io,13.47,2.50,8234.00,5.990
3,B,io,9.55,1.50,22593.00,6.050
4,A,cpu,168.48,2.32,13331.56,13.490
4,B,cpu,179.68,1.39,30.65,13.340
4,A,mem,149.18,934.12,48.70,15.970
4,B,mem,164.64,1024.00,70.38,15.500
4,A,io,11.28,2.62,37878.40,6.970
4,B,io,14.76,1.50,9919.20,6.810
5,A,cpu,183.37,3.22,7698.46,17.240
5,B,cpu,178.78,1.51,71.10,16.720
5,A,mem,168.35,1284.48,26.72,20.610
5,B,mem,169.96,1278.26,19.69,21.300
5,A,io,14.56,3.25,11586.40,7.780
5,B,io,20.38,1.50,40990.40,7.550
6,A,cpu,174.75,3.60,10413.15,20.210
6,B,cpu,170.95,1.39,58.40,20.330
6,A,mem,159.96,1450.52,47.95,26.280
6,B,mem,155.38,1445.64,34.05,25.850
6,A,io,22.63,3.62,27104.67,8.400
6,B,io,23.80,1.25,44813.33,8.220
7,A,cpu,176.72,4.00,24.96,23.840
7,B,cpu,170.45,1.27,34.37,23.480
7,A,mem,173.86,1784.12,37.16,30.890
7,B,mem,166.59,1751.04,27.32,31.200
7,A,io,18.50,3.62,11641.75,9.110
7,B,io,7.45,1.38,31344.17,8.590
8,A,cpu,172.97,3.18,2470.73,26.860
8,B,cpu,170.56,1.41,39.49,26.750
8,A,mem,161.41,1960.85,69.96,34.940
8,B,mem,165.48,2048.00,18.76,34.580
8,A,io,23.20,4.38,39489.33,8.610
8,B,io,16.55,1.25,23268.67,8.210
