components,program,function,cpu_percent,mem_mb,io_kbps,time_sec
2,A,cpu,161.00,1.70,83.20,6.920
2,B,cpu,162.24,1.10,24.80,6.720
2,A,mem,147.96,411.73,40.80,6.530
2,B,mem,164.92,513.26,29.57,6.950
2,A,io,9.10,2.00,8314.00,5.320
2,B,io,2.27,1.38,45182.00,5.310
3,A,cpu,178.47,1.96,17224.00,10.240
3,B,cpu,190.87,1.39,81.71,10.130
3,A,mem,140.84,674.80,48.89,11.310
3,B,mem,171.30,769.33,78.86,10.830
3,A,io,11.10,2.00,14841.60,6.520
3,B,io,9.78,1.38,36475.00,5.950
4,A,cpu,178.32,2.83,11035.90,13.660
4,B,cpu,190.39,1.38,27.11,13.490
4,A,mem,162.86,948.49,56.20,18.900
4,B,mem,179.84,930.91,56.36,16.270
4,A,io,7.46,2.88,36634.40,7.250
4,B,io,9.28,1.50,15.20,7.010
5,A,cpu,177.06,3.25,12838.55,16.940
5,B,cpu,182.25,1.38,24.36,16.670
5,A,mem,179.40,1218.72,20.50,21.160
5,B,mem,182.26,1309.26,42.83,21.580
5,A,io,13.95,2.71,25708.67,7.950
5,B,io,17.28,1.50,34.40,7.600
6,A,cpu,167.65,2.75,12141.54,20.330
6,B,cpu,177.32,1.50,85.46,20.210
6,A,mem,179.00,1495.96,24.18,26.450
6,B,mem,167.26,1460.80,61.73,26.180
6,A,io,20.76,3.62,13951.20,7.030
6,B,io,20.56,1.50,37764.80,7.690
7,A,cpu,171.87,3.95,9206.20,23.520
7,B,cpu,174.03,1.50,71.47,23.550
7,A,mem,160.12,1707.85,32.56,31.000
7,B,mem,172.12,1790.46,57.90,31.300
7,A,io,15.17,3.33,12317.33,7.870
7,B,io,30.20,1.50,22305.60,7.370
8,A,cpu,154.16,3.35,3095.46,27.040
8,B,cpu,171.68,1.39,49.89,26.870
8,A,mem,164.66,1953.70,15.23,36.380
8,B,mem,166.80,1958.96,26.32,36.330
8,A,io,11.37,3.65,12356.67,8.000
8,B,io,21.23,1.25,21778.00,7.970
