components,program,function,cpu_percent,mem_mb,io_kbps,time_sec
2,A,cpu,172.66,1.88,30276.60,6.800
2,B,cpu,183.58,1.38,29419.80,6.650
2,A,mem,167.38,428.73,28531.83,7.730
2,B,mem,179.75,513.41,27624.00,8.740
2,A,io,12.05,2.12,26912.25,5.760
2,B,io,12.28,1.50,26377.25,5.390
3,A,cpu,183.67,2.12,25661.57,10.320
3,B,cpu,177.94,1.38,24794.43,10.150
3,A,mem,162.12,730.98,23875.44,12.610
3,B,mem,176.60,769.38,22972.88,11.830
3,A,io,7.28,2.50,22334.00,7.060
3,B,io,11.28,1.20,21875.20,6.040
4,A,cpu,187.38,2.88,21249.89,13.450
4,B,cpu,182.60,1.50,20479.44,13.560
4,A,mem,163.02,1027.90,19645.17,17.980
4,B,mem,177.90,64.13,18773.25,17.490
4,A,io,11.28,2.88,18207.06,7.050
4,B,io,17.64,1.38,17900.78,6.670
5,A,cpu,188.16,2.62,17417.82,16.650
5,B,cpu,172.64,1.38,16782.09,16.710
5,A,mem,162.38,1193.47,16083.80,22.100
5,B,mem,170.82,0.00,15349.13,22.110
5,A,io,7.28,3.25,14899.68,7.180
5,B,io,14.55,1.25,14673.58,7.560
6,A,cpu,161.04,2.44,14262.64,20.200
6,B,cpu,180.62,1.50,13735.31,19.940
6,A,mem,163.68,1535.43,13186.82,26.320
6,B,mem,159.29,0.00,12611.59,26.320
6,A,io,14.23,3.62,12341.54,9.390
6,B,io,15.53,1.29,12212.73,9.160
